#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,COG(s),Protein name
chr,NC_001318.1,38136,39638,-,1194875,-,BB_0039,NP_212173.1,500,-,hypothetical protein BB_0039
chr,NC_001318.1,39826,40677,+,1194876,cheR,BB_0040,NP_212174.1,283,-,chemotaxis protein methyltransferase
chr,NC_001318.1,40761,41432,-,1194878,phoU,BB_0042,NP_212176.1,223,-,phosphate-specific transport system accessory protein PhoU
chr,NC_001318.1,41443,42483,-,1194879,-,BB_0043,NP_212177.1,346,-,hypothetical protein BB_0043
chr,NC_001318.1,42480,42881,-,1194880,-,BB_0044,NP_212178.1,133,-,hypothetical protein BB_0044
chr,NC_001318.1,42907,45354,-,1194881,-,BB_0045,NP_212179.2,815,-,P115 protein
chr,NC_001318.1,45446,45991,+,1194882,rnhB,BB_0046,NP_212180.1,181,-,ribonuclease HII
chr,NC_001318.1,46011,46379,-,1194883,-,BB_0047,NP_212181.2,122,-,hypothetical protein BB_0047
chr,NC_001318.1,47167,47841,+,1194886,-,BB_0050,NP_212184.1,224,-,hypothetical protein BB_0050
chr,NC_001318.1,47917,48606,+,1194887,-,BB_0051,NP_212185.2,229,-,integral membrane protein
chr,NC_001318.1,48603,49259,-,1194888,-,BB_0052,NP_212186.1,218,-,tRNA/rRNA methyltransferase
chr,NC_001318.1,49341,50012,+,1194889,ung,BB_0053,NP_212187.1,223,-,uracil-DNA glycosylase
chr,NC_001318.1,50112,50474,-,1194890,-,BB_0054,NP_212188.2,120,-,protein-export membrane protein SecG
chr,NC_001318.1,50490,51251,-,1194891,tpiA,BB_0055,NP_212189.1,253,-,triosephosphate isomerase
chr,NC_001318.1,51253,52434,-,1194892,pgk,BB_0056,NP_212190.1,393,-,phosphoglycerate kinase
chr,NC_001318.1,52454,53461,-,1194893,gap,BB_0057,NP_212191.1,335,-,glyceraldehyde 3-phosphate dehydrogenase
chr,NC_001318.1,53534,55504,-,1194894,-,BB_0058,NP_212192.1,656,-,hypothetical protein BB_0058
chr,NC_001318.1,55501,56280,-,1194895,-,BB_0059,NP_212193.1,259,-,CBS domain-containing protein
chr,NC_001318.1,56281,56748,-,1194896,-,BB_0060,NP_212194.1,155,-,endoribonuclease
chr,NC_001318.1,56832,57185,-,1194897,trx,BB_0061,NP_212195.1,117,-,thioredoxin
chr,NC_001318.1,57259,57975,+,1194898,-,BB_0062,NP_212196.1,238,-,rRNA small subunit methyltransferase E
chr,NC_001318.1,58029,58982,-,1194899,-,BB_0063,NP_212197.2,317,-,hypothetical protein BB_0063
chr,NC_001318.1,59101,60039,-,1194900,fmt,BB_0064,NP_212198.1,312,-,methionyl-tRNA formyltransferase
chr,NC_001318.1,60036,60533,-,1194901,def,BB_0065,NP_212199.2,165,-,peptide deformylase
chr,NC_001318.1,60568,61257,-,1194902,-,BB_0066,NP_212200.1,229,-,hypothetical protein BB_0066
chr,NC_001318.1,61254,63032,-,1194903,-,BB_0067,YP_008686556.1,592,-,peptidase
chr,NC_001318.1,63147,64028,+,1194904,-,BB_0068,NP_212202.1,293,-,haloacid dehalogenase-like hydrolase
chr,NC_001318.1,64038,65276,+,1194905,-,BB_0069,NP_212203.1,412,-,aminopeptidase II
chr,NC_001318.1,65291,65752,+,1194906,-,BB_0070,NP_212204.1,153,-,hypothetical protein BB_0070
chr,NC_001318.1,65768,67240,+,1194907,-,BB_0071,YP_008686557.1,490,-,membrane protein
chr,NC_001318.1,67248,69569,+,1194908,-,BB_0072,NP_212206.1,773,-,membrane protein
chr,NC_001318.1,69566,70126,+,1194909,-,BB_0073,NP_212207.1,186,-,hypothetical protein BB_0073
chr,NC_001318.1,70142,71219,+,1194910,prfB,BB_0074,NP_212208.2,358,-,peptide chain release factor 2
chr,NC_001318.1,71201,72610,+,1194911,-,BB_0075,NP_212209.1,469,-,hypothetical protein BB_0075
chr,NC_001318.1,72647,73492,+,1194912,ftsY,BB_0076,NP_212210.1,281,-,signal recognition particle-docking protein FtsY
chr,NC_001318.1,73489,74517,+,1194913,-,BB_0077,YP_008686558.1,342,-,hypothetical protein BB_0077
chr,NC_001318.1,75774,76454,+,1194916,-,BB_0080,NP_212214.2,226,-,ABC transporter ATP-binding protein
chr,NC_001318.1,76451,77701,+,1194917,-,BB_0081,NP_212215.1,416,-,efflux ABC transporter permease
chr,NC_001318.1,77711,79009,-,1194918,-,BB_0082,NP_212216.1,432,-,hypothetical protein BB_0082
chr,NC_001318.1,79002,79322,-,1194919,-,BB_0083,NP_212217.2,106,-,hypothetical protein BB_0083
chr,NC_001318.1,79505,80773,+,1194920,-,BB_0084,NP_212218.1,422,-,cysteine desulfurase
chr,NC_001318.1,80983,81408,+,1194921,-,BB_0085,NP_212219.1,141,-,hypothetical protein BB_0085
chr,NC_001318.1,81405,82940,+,1194922,-,BB_0086,NP_212220.1,511,-,Mg chelatase-like protein
chr,NC_001318.1,82970,83920,-,1194923,-,BB_0087,NP_212221.1,316,-,L-lactate dehydrogenase
chr,NC_001318.1,84041,85720,-,1194924,-,BB_0088,NP_212222.1,559,-,elongation factor EF-4
chr,NC_001318.1,85880,86854,-,1194925,-,BB_0089,NP_212223.1,324,-,hypothetical protein BB_0089
chr,NC_001318.1,86926,87360,-,1194926,-,BB_0090,NP_212224.1,144,-,V-type ATP synthase subunit K
chr,NC_001318.1,87377,89203,-,1194927,-,BB_0091,YP_008686559.1,608,-,V-type ATP synthase subunit I
chr,NC_001318.1,89200,89808,-,1194928,-,BB_0092,NP_212226.2,202,-,V-type ATPase subunit D
chr,NC_001318.1,89811,91115,-,1194929,-,BB_0093,NP_212227.1,434,-,V-type ATP synthase subunit B
chr,NC_001318.1,91137,92864,-,1194930,-,BB_0094,YP_008686560.1,575,-,ATP synthase subunit A
chr,NC_001318.1,92878,93423,-,1194931,-,BB_0095,NP_212229.1,181,-,hypothetical protein BB_0095
chr,NC_001318.1,93433,94032,-,1194932,-,BB_0096,NP_212230.2,199,-,V-type ATP synthase subunit E
chr,NC_001318.1,94219,94605,-,1194933,-,BB_0097,NP_212231.1,128,-,hypothetical protein BB_0097
chr,NC_001318.1,94611,96953,-,1194934,-,BB_0098,NP_212232.1,780,-,endonuclease MutS2
chr,NC_001318.1,96943,97866,-,1194935,rsgA,BB_0099,NP_212233.1,307,-,ribosome biogenesis GTPase RsgA
chr,NC_001318.1,97863,98648,-,1194936,murI,BB_0100,NP_212234.1,261,-,glutamate racemase
chr,NC_001318.1,98817,100205,+,1194937,asnS,BB_0101,NP_212235.2,462,-,asparagine--tRNA ligase
chr,NC_001318.1,100228,100749,+,1194938,-,BB_0102,NP_212236.1,173,-,hypothetical protein BB_0102
chr,NC_001318.1,100746,101339,-,1194939,-,BB_0103,NP_212237.1,197,-,hypothetical protein BB_0103
chr,NC_001318.1,101525,102949,-,1194940,-,BB_0104,NP_212238.2,474,-,periplasmic serine protease DO
chr,NC_001318.1,103016,103771,-,1194941,map,BB_0105,NP_212239.1,251,-,methionine aminopeptidase
chr,NC_001318.1,103764,105299,-,1194942,-,BB_0106,NP_212240.2,511,-,hypothetical protein BB_0106
chr,NC_001318.1,105418,105846,-,1194943,nusB,BB_0107,NP_212241.2,142,-,transcription antitermination factor NusB
chr,NC_001318.1,105884,106894,-,1194944,-,BB_0108,NP_212242.1,336,-,basic membrane protein
chr,NC_001318.1,106974,108170,-,1194945,-,BB_0109,NP_212243.1,398,-,acetyl-CoA C-acetyltransferase
chr,NC_001318.1,108307,109671,+,1194946,-,BB_0110,NP_212244.1,454,-,hypothetical protein BB_0110
chr,NC_001318.1,109675,111042,-,1194947,dnaB,BB_0111,NP_212245.1,455,-,replicative DNA helicase
chr,NC_001318.1,111046,111567,-,1194948,rplI,BB_0112,NP_212246.1,173,-,50S ribosomal protein L9
chr,NC_001318.1,111585,111875,-,1194949,rpsR,BB_0113,NP_212247.1,96,-,30S ribosomal protein S18
chr,NC_001318.1,111889,112338,-,1194950,-,BB_0114,NP_212248.1,149,-,single-stranded DNA-binding protein
chr,NC_001318.1,112350,112769,-,1194951,-,BB_0115,NP_212249.1,139,-,30S ribosomal protein S6
chr,NC_001318.1,112909,114603,-,1194952,-,BB_0116,NP_212250.2,564,-,PTS system maltose and glucose-specific transporter subunit IIABC
chr,NC_001318.1,114807,115508,+,1194953,-,BB_0117,NP_212251.1,233,-,hemolysin III
chr,NC_001318.1,115505,116806,-,1194954,rseP,BB_0118,NP_212252.2,433,-,RIP metalloprotease RseP
chr,NC_001318.1,117678,118370,-,1194955,uppS,BB_0120,NP_212254.1,230,-,isoprenyl transferase
chr,NC_001318.1,118375,118929,-,1194956,frr,BB_0121,NP_212255.1,184,-,ribosome recycling factor
chr,NC_001318.1,118964,119803,-,1194957,tsf,BB_0122,NP_212256.1,279,-,elongation factor Ts
chr,NC_001318.1,119807,120589,-,1194958,rpsB,BB_0123,NP_212257.1,260,-,30S ribosomal protein S2
chr,NC_001318.1,120804,121082,-,1194959,-,BB_0124,NP_212258.1,92,-,hypothetical protein BB_0124
chr,NC_001318.1,121101,121823,-,1194960,-,BB_0125,NP_212259.1,240,-,hypothetical protein BB_0125
chr,NC_001318.1,121880,122491,-,1194961,-,BB_0126,NP_212260.1,203,-,hypothetical protein BB_0126
chr,NC_001318.1,122491,124146,-,1194962,-,BB_0127,NP_212261.2,551,-,30S ribosomal protein S1
chr,NC_001318.1,124149,124814,-,1194963,cmk,BB_0128,NP_212262.1,221,-,cytidylate kinase
chr,NC_001318.1,124798,125547,-,1194964,-,BB_0129,NP_212263.1,249,-,hypothetical protein BB_0129
chr,NC_001318.1,125534,126301,-,1194965,-,BB_0130,NP_212264.1,255,-,hypothetical protein BB_0130
chr,NC_001318.1,126316,127413,-,1194966,recA,BB_0131,NP_212265.1,365,-,recombinase A
chr,NC_001318.1,127427,130132,-,1194967,-,BB_0132,NP_212266.1,901,-,transcription elongation factor GreA
chr,NC_001318.1,130170,131114,-,1194968,-,BB_0133,NP_212267.1,314,-,hypothetical protein BB_0133
chr,NC_001318.1,131298,132425,+,1194969,-,BB_0134,NP_212268.2,375,-,hypothetical protein BB_0134
chr,NC_001318.1,132472,133842,-,1194970,hisS,BB_0135,NP_212269.2,456,-,histidine--tRNA ligase
chr,NC_001318.1,133975,135864,+,1194971,-,BB_0136,NP_212270.1,629,-,penicillin-binding protein
chr,NC_001318.1,135874,137766,-,1194972,-,BB_0137,NP_212271.1,630,-,long-chain-fatty-acid CoA ligase
chr,NC_001318.1,137880,138089,-,1194973,-,BB_0138,NP_212272.1,69,-,hypothetical protein BB_0138
chr,NC_001318.1,138434,138745,-,1194974,-,BB_0139,NP_212273.2,103,-,hypothetical protein BB_0139
chr,NC_001318.1,141979,142932,-,1194976,-,BB_0141,NP_212275.2,317,-,membrane fusion protein
chr,NC_001318.1,142944,144230,-,1194977,-,BB_0142,NP_212276.2,428,-,outer membrane efflux protein
chr,NC_001318.1,144307,144597,+,1194978,-,BB_0143,NP_212277.1,96,-,membrane protein insertion efficiency factor
chr,NC_001318.1,144586,145458,-,1194979,-,BB_0144,NP_212278.1,290,-,glycine/betaine ABC transporter substrate-binding protein
chr,NC_001318.1,145471,146370,-,1194980,-,BB_0145,NP_212279.1,299,-,glycine/betaine ABC transporter permease
chr,NC_001318.1,146377,147495,-,1194981,-,BB_0146,NP_212280.1,372,-,glycine/betaine ABC transporter ATP-binding protein
chr,NC_001318.1,147649,148659,-,1194982,-,BB_0147,NP_212281.1,336,-,flagellin
chr,NC_001318.1,148786,150783,-,1194984,-,BB_0149,YP_008686561.1,665,-,flagellar hook-associated protein FliD
chr,NC_001318.1,150974,152179,+,1194986,nagA,BB_0151,NP_212285.1,401,-,N-acetylglucosamine-6-phosphate deacetylase
chr,NC_001318.1,152206,153012,+,1194987,nagB,BB_0152,NP_212286.1,268,-,glucosamine-6-phosphate deaminase
chr,NC_001318.1,153075,153686,-,1194988,-,BB_0153,NP_212287.2,203,-,superoxide dismutase
chr,NC_001318.1,153701,156400,-,1194989,secA,BB_0154,NP_212288.1,899,-,protein translocase subunit SecA
chr,NC_001318.1,156462,157598,+,1194990,-,BB_0155,NP_212289.1,378,-,lipoprotein
chr,NC_001318.1,157627,158061,+,1194991,-,BB_0156,NP_212290.1,144,-,hypothetical protein BB_0156
chr,NC_001318.1,158076,158474,+,1194992,-,BB_0157,NP_212291.2,132,-,hypothetical protein BB_0157
chr,NC_001318.1,158628,159344,+,1194993,-,BB_0158,NP_212292.1,238,-,S2 lipoprotein
chr,NC_001318.1,159368,160042,+,1194994,-,BB_0159,NP_212293.1,224,-,hypothetical protein BB_0159
chr,NC_001318.1,160090,161208,+,1194995,alr,BB_0160,NP_212294.1,372,-,alanine racemase
chr,NC_001318.1,161200,162801,-,1194996,-,BB_0161,NP_212295.2,533,-,hypothetical protein BB_0161
chr,NC_001318.1,162878,163045,+,1194997,-,BB_0162,NP_212296.1,55,-,hypothetical protein BB_0162
chr,NC_001318.1,163072,164820,-,1194998,-,BB_0163,NP_212297.1,582,-,hypothetical protein BB_0163
chr,NC_001318.1,164901,165887,-,1194999,-,BB_0164,NP_212298.2,328,-,K+-dependent Na+/Ca+ exchanger-like protein
chr,NC_001318.1,165915,167759,-,1195000,-,BB_0165,NP_212299.1,614,-,hypothetical protein BB_0165
chr,NC_001318.1,167879,169399,-,1195001,malQ,BB_0166,NP_212300.1,506,-,4-alpha-glucanotransferase
chr,NC_001318.1,169563,170708,+,1195002,-,BB_0167,NP_212301.2,381,-,outer membrane protein
chr,NC_001318.1,170720,171097,-,1195003,-,BB_0168,NP_212302.1,125,-,dnaK suppressor
chr,NC_001318.1,171263,171484,+,1195004,infA,BB_0169,NP_212303.2,73,-,translation initiation factor IF-1
chr,NC_001318.1,171532,173535,-,1195005,-,BB_0170,NP_212304.2,667,-,hypothetical protein BB_0170
chr,NC_001318.1,173529,174116,-,1195006,-,BB_0171,NP_212305.1,195,-,hypothetical protein BB_0171
chr,NC_001318.1,174098,174970,-,1195007,-,BB_0172,NP_212306.2,290,-,von Willebrand factor type A domain-containing protein
chr,NC_001318.1,175081,176082,-,1195008,-,BB_0173,YP_008686562.1,333,-,hypothetical protein BB_0173
chr,NC_001318.1,176069,176974,-,1195009,-,BB_0174,NP_212308.1,301,-,hypothetical protein BB_0174
chr,NC_001318.1,176978,177853,-,1195010,-,BB_0175,NP_212309.1,291,-,hypothetical protein BB_0175
chr,NC_001318.1,177868,178860,-,1195011,-,BB_0176,NP_212310.2,330,-,ATPase
chr,NC_001318.1,178917,179543,-,1195012,gidB,BB_0177,NP_212311.1,208,-,rRNA small subunit methyltransferase G
chr,NC_001318.1,179540,181405,-,1195013,gidA,BB_0178,NP_212312.2,621,-,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA
chr,NC_001318.1,181408,182802,-,1195014,trmE,BB_0179,NP_212313.1,464,-,tRNA modification GTPase
chr,NC_001318.1,182886,183380,+,1195015,-,BB_0180,NP_212314.1,164,-,flagellar protein FlbF
chr,NC_001318.1,183392,185275,+,1195016,flgK,BB_0181,YP_008686563.1,627,-,flagellar hook-associated protein FlgK
chr,NC_001318.1,185278,186552,+,1195017,flgL,BB_0182,YP_008686564.1,424,-,flagellar hook-associated protein FlgL
chr,NC_001318.1,186554,186946,+,1195018,-,BB_0183,NP_212317.1,130,-,flagellar assembly protein FliW
chr,NC_001318.1,186949,187194,+,1195019,csrA,BB_0184,NP_212318.1,81,-,carbon storage regulator
chr,NC_001318.1,187178,187831,-,1195020,-,BB_0185,NP_212319.1,217,-,glycoprotease family protein
chr,NC_001318.1,187824,188237,-,1195021,-,BB_0186,NP_212320.1,137,-,tRNA threonylcarbamoyladenosine biosynthesis protein
chr,NC_001318.1,188234,188494,-,1195022,-,BB_0187,NP_212321.1,86,-,hypothetical protein BB_0187
chr,NC_001318.1,188708,189055,-,1195023,rplT,BB_0188,YP_008686565.1,115,-,50S ribosomal protein L20
chr,NC_001318.1,189076,189276,-,1195024,rpmI,BB_0189,NP_212323.1,66,-,50S ribosomal protein L35
chr,NC_001318.1,189299,189859,-,1195025,infC,BB_0190,NP_212324.1,186,-,translation initiation factor IF-3
chr,NC_001318.1,190187,190717,+,1195027,-,BB_0192,NP_212326.2,176,-,hypothetical protein BB_0192
chr,NC_001318.1,190719,191459,+,1195028,-,BB_0193,NP_212327.1,246,-,lipoprotein
chr,NC_001318.1,191518,192327,-,1195029,-,BB_0194,NP_212328.1,269,-,TatD family hydrolase
chr,NC_001318.1,192324,193463,-,1195030,-,BB_0195,NP_212329.1,379,-,hypothetical protein BB_0195
chr,NC_001318.1,193800,194873,+,1195031,prfA,BB_0196,YP_008686566.1,357,-,peptide chain release factor 1
chr,NC_001318.1,194876,195736,+,1195032,-,BB_0197,NP_212331.1,286,-,release factor glutamine methyltransferase
chr,NC_001318.1,195693,197696,+,1195033,-,BB_0198,NP_212332.1,667,-,"guanosine-3\',5\'-bis(diphosphate) 3\'-pyrophosphohydrolase"
chr,NC_001318.1,197686,199950,+,1195034,-,BB_0199,YP_008686567.1,754,-,hypothetical protein BB_0199
chr,NC_001318.1,199965,201050,-,1195035,-,BB_0200,NP_212334.2,361,-,D-alanine--D-alanine ligase
chr,NC_001318.1,201052,202578,-,1195036,-,BB_0201,NP_212335.1,508,-,UDP-N-acetylmuramyl-tripeptide synthetase
chr,NC_001318.1,202850,204088,+,1195038,-,BB_0202,NP_212336.1,412,-,hemolysin
chr,NC_001318.1,204137,205072,+,1195039,hflK,BB_0203,NP_212337.1,311,-,protein HflK
chr,NC_001318.1,205175,206044,+,1195040,hflC,BB_0204,NP_212338.2,289,-,protein HflC
chr,NC_001318.1,206529,208106,+,1195042,-,BB_0205,NP_212339.1,525,-,hypothetical protein BB_0205
chr,NC_001318.1,208084,208581,-,1195043,-,BB_0206,NP_212340.2,165,-,methyltransferase
chr,NC_001318.1,209529,211274,+,1195045,-,BB_0208,YP_008686568.1,581,-,hypothetical protein BB_0208
chr,NC_001318.1,211301,212068,+,1195046,-,BB_0209,NP_212343.1,255,-,hypothetical protein BB_0209
chr,NC_001318.1,212061,215420,+,1195047,-,BB_0210,YP_008686569.1,1119,-,hypothetical protein BB_0210
chr,NC_001318.1,215427,217259,+,1195048,-,BB_0211,NP_212345.1,610,-,DNA mismatch repair protein
chr,NC_001318.1,217278,218312,+,1195049,-,BB_0212,NP_212346.1,344,-,hypothetical protein BB_0212
chr,NC_001318.1,218425,219078,-,1195050,-,BB_0213,NP_212347.1,217,-,lipoprotein
chr,NC_001318.1,219056,219634,-,1195051,efp,BB_0214,NP_212348.1,192,-,elongation factor P
chr,NC_001318.1,219800,220639,+,1195052,-,BB_0215,NP_212349.2,279,-,phosphate ABC transporter substrate-binding protein
chr,NC_001318.1,220729,221637,+,1195053,pstC,BB_0216,NP_212350.1,302,-,phosphate ABC transporter permease PstC
chr,NC_001318.1,221742,223178,+,1195054,pstA,BB_0217,NP_212351.2,478,-,phosphate ABC transporter permease PstA
chr,NC_001318.1,223179,223961,+,1195055,pstB,BB_0218,NP_212352.1,260,-,phosphate ABC transporter ATP-binding protein
chr,NC_001318.1,223964,224785,-,1195056,-,BB_0219,NP_212353.1,273,-,metal cation transporter permease
chr,NC_001318.1,224826,226610,-,1195057,-,BB_0220,NP_212354.1,594,-,alanine--tRNA ligase
chr,NC_001318.1,226610,227827,-,1195058,-,BB_0221,NP_212355.2,405,-,flagellar motor switch protein
chr,NC_001318.1,227814,228521,-,1195059,-,BB_0222,NP_212356.1,235,-,6-phosphogluconolactonase
chr,NC_001318.1,229217,230224,+,1195062,-,BB_0225,NP_212359.1,335,-,tRNA-dihydrouridine synthase A
chr,NC_001318.1,230214,231491,-,1195063,serS,BB_0226,NP_212360.1,425,-,serine--tRNA ligase
chr,NC_001318.1,231621,232322,+,1195064,-,BB_0227,NP_212361.1,233,-,hypothetical protein BB_0227
chr,NC_001318.1,232338,235253,+,1195065,-,BB_0228,NP_212362.1,971,-,hypothetical protein BB_0228
chr,NC_001318.1,235289,235534,-,1195066,rpmE,BB_0229,NP_212363.1,81,-,50S ribosomal protein L31
chr,NC_001318.1,235595,237142,-,1195067,rho,BB_0230,NP_212364.1,515,-,transcription termination factor Rho
chr,NC_001318.1,237222,237629,-,1195068,-,BB_0231,NP_212365.1,135,-,hypothetical protein BB_0231
chr,NC_001318.1,237630,237956,-,1195069,hbb,BB_0232,NP_212366.1,108,-,DNA-binding protein HU
chr,NC_001318.1,237969,238226,-,1195070,rpsT,BB_0233,NP_212367.2,85,-,30S ribosomal protein S20
chr,NC_001318.1,238301,239128,-,1195071,-,BB_0234,NP_212368.1,275,-,integral membrane protein
chr,NC_001318.1,239144,240250,-,1195072,ychF,BB_0235,NP_212369.1,368,-,ribosome-binding ATPase
chr,NC_001318.1,240283,242289,-,1195073,-,BB_0236,NP_212370.1,668,-,hypothetical protein BB_0236
chr,NC_001318.1,242438,244003,+,1195074,lnt,BB_0237,NP_212371.1,521,-,apolipoprotein N-acyltransferase
chr,NC_001318.1,243943,244713,-,1195075,-,BB_0238,NP_212372.2,256,-,hypothetical protein BB_0238
chr,NC_001318.1,244777,245382,-,1195076,-,BB_0239,NP_212373.2,201,-,deoxyguanosine/deoxyadenosine kinase
chr,NC_001318.1,245790,246554,+,1195077,-,BB_0240,NP_212374.1,254,-,glycerol uptake facilitator
chr,NC_001318.1,246597,248102,+,1195078,glpK,BB_0241,NP_212375.1,501,-,glycerol kinase
chr,NC_001318.1,248156,248434,+,1195079,-,BB_0242,NP_212376.1,92,-,hypothetical protein BB_0242
chr,NC_001318.1,248506,250089,+,1195080,-,BB_0243,NP_212377.1,527,-,glycerol-3-phosphate dehydrogenase
chr,NC_001318.1,250176,250670,-,1195081,-,BB_0244,NP_212378.1,164,-,hypothetical protein BB_0244
chr,NC_001318.1,250657,251211,-,1195082,-,BB_0245,NP_212379.1,184,-,hypothetical protein BB_0245
chr,NC_001318.1,251212,252237,-,1195083,-,BB_0246,NP_212380.1,341,-,M23 peptidase domain-containing protein
chr,NC_001318.1,252434,253039,+,1195084,rdgB,BB_0247,NP_212381.1,201,-,non-canonical purine NTP pyrophosphatase
chr,NC_001318.1,253159,254931,+,1195085,pepF,BB_0248,NP_212382.1,590,-,oligoendopeptidase F
chr,NC_001318.1,254945,255649,+,1195086,-,BB_0249,NP_212383.1,234,-,phosphatidylcholine synthase
chr,NC_001318.1,255646,256260,+,1195087,-,BB_0250,NP_212384.1,204,-,inner membrane protein
chr,NC_001318.1,256463,258985,+,1195088,leuS,BB_0251,NP_212385.1,840,-,leucine--tRNA ligase
chr,NC_001318.1,259000,261303,+,1195089,-,BB_0252,YP_008686570.1,767,-,hypothetical protein BB_0252
chr,NC_001318.1,261292,263712,-,1195090,lon,BB_0253,NP_212387.1,806,-,ATP-dependent protease La
chr,NC_001318.1,263988,266114,+,1195091,recJ,BB_0254,NP_212388.1,708,-,single-stranded-DNA-specific exonuclease
chr,NC_001318.1,266107,267051,+,1195092,-,BB_0255,NP_212389.2,314,-,M23 peptidase domain-containing protein
chr,NC_001318.1,267066,267275,+,1195093,rpsU,BB_0256,NP_212390.1,69,-,30S ribosomal protein S21
chr,NC_001318.1,267313,269676,-,1195094,-,BB_0257,YP_008853940.1,787,-,DNA translocase FtsK
chr,NC_001318.1,269673,270473,-,1195095,-,BB_0258,NP_212392.1,266,-,undecaprenyl-diphosphatase
chr,NC_001318.1,270488,272641,-,1195096,-,BB_0259,NP_212393.2,717,-,transglycosylase SLT domain-containing protein
